City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
62,Ribeira Grande,PT,68.4,broken clouds,38.5167,-28.7,Tateyama Seaside Hotel
65,Axim,GH,76.06,overcast clouds,4.8699,-2.2405,Tateyama Seaside Hotel
66,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Tateyama Seaside Hotel
70,Castro,BR,68.43,broken clouds,-24.7911,-50.0119,Tateyama Seaside Hotel
71,Atuona,PF,77.61,broken clouds,-9.8,-139.0333,Tateyama Seaside Hotel
73,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Tateyama Seaside Hotel
76,Bandarbeyla,SO,78.53,scattered clouds,9.4942,50.8122,Tateyama Seaside Hotel
77,Anqing,CN,79.0,overcast clouds,30.5092,117.0506,Tateyama Seaside Hotel
79,Sao Jose Do Calcado,BR,78.67,scattered clouds,-21.0253,-41.6544,Tateyama Seaside Hotel
81,Probistip,MK,72.7,overcast clouds,42.0031,22.1786,Tateyama Seaside Hotel
84,Fortuna,US,76.86,scattered clouds,40.5982,-124.1573,Tateyama Seaside Hotel
86,Saint Anthony,US,80.89,light rain,45.0205,-93.218,Tateyama Seaside Hotel
90,Taltal,CL,63.84,overcast clouds,-25.4,-70.4833,Tateyama Seaside Hotel
92,Carnarvon,AU,67.19,clear sky,-24.8667,113.6333,Tateyama Seaside Hotel
93,Yellowknife,CA,72.12,broken clouds,62.456,-114.3525,Tateyama Seaside Hotel
94,Novonikolayevskiy,RU,65.79,few clouds,50.9738,42.3649,Tateyama Seaside Hotel
103,Salinopolis,BR,80.55,overcast clouds,-0.6136,-47.3561,Tateyama Seaside Hotel
105,Caravelas,BR,75.85,scattered clouds,-17.7125,-39.2481,Tateyama Seaside Hotel
109,Raudeberg,NO,63.27,overcast clouds,61.9875,5.1352,Tateyama Seaside Hotel
110,Pisco,PE,62.65,mist,-13.7,-76.2167,Tateyama Seaside Hotel
111,Korcula,HR,76.82,clear sky,42.9622,17.1369,Tateyama Seaside Hotel
115,Cascais,PT,69.51,few clouds,38.6979,-9.4215,Tateyama Seaside Hotel
121,Torbay,CA,70.57,mist,47.6666,-52.7314,Tateyama Seaside Hotel
122,Shinjo,JP,66.31,scattered clouds,38.7586,140.3008,Tateyama Seaside Hotel
123,Isangel,VU,69.91,few clouds,-19.55,169.2667,Tateyama Seaside Hotel
126,Beloha,MG,63.28,clear sky,-25.1667,45.05,Tateyama Seaside Hotel
128,Lorengau,PG,80.85,overcast clouds,-2.0226,147.2712,Tateyama Seaside Hotel
129,Jumla,NP,63.93,overcast clouds,29.2747,82.1838,Tateyama Seaside Hotel
132,Aykhal,RU,63.01,overcast clouds,66.0,111.5,Tateyama Seaside Hotel
133,Kapit,MY,72.34,broken clouds,2.0167,112.9333,Tateyama Seaside Hotel
134,Kapaa,US,78.78,light rain,22.0752,-159.319,Tateyama Seaside Hotel
137,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Tateyama Seaside Hotel
141,Muros,ES,62.83,clear sky,42.7762,-9.0603,Tateyama Seaside Hotel
142,Teahupoo,PF,71.56,scattered clouds,-17.8333,-149.2667,Tateyama Seaside Hotel
144,Vanimo,PG,77.61,moderate rain,-2.6741,141.3028,Tateyama Seaside Hotel
145,Shar,KZ,74.39,clear sky,49.5886,81.0453,Tateyama Seaside Hotel
147,Mookane,BW,62.01,overcast clouds,-23.688,26.6595,Tateyama Seaside Hotel
150,Derzhavinsk,KZ,69.33,broken clouds,51.1,66.3167,Tateyama Seaside Hotel
152,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Tateyama Seaside Hotel
153,Luocheng,CN,75.25,light rain,29.3848,104.0286,Tateyama Seaside Hotel
157,Pachino,IT,78.98,clear sky,36.7186,15.0907,Tateyama Seaside Hotel
158,Saint-Augustin,CA,64.87,overcast clouds,51.226,-58.6502,Tateyama Seaside Hotel
159,Aleksandrov Gay,RU,71.49,few clouds,50.147,48.5704,Tateyama Seaside Hotel
162,Lagoa,PT,63.63,clear sky,39.05,-27.9833,Tateyama Seaside Hotel
165,Whitley Bay,GB,63.48,overcast clouds,55.0397,-1.4471,Tateyama Seaside Hotel
166,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Tateyama Seaside Hotel
167,Novaya Ladoga,RU,64.38,few clouds,60.1025,32.3019,Tateyama Seaside Hotel
169,Mancio Lima,BR,80.67,broken clouds,-7.6142,-72.8958,Tateyama Seaside Hotel
170,Ponta Delgada,PT,70.5,broken clouds,37.7333,-25.6667,Tateyama Seaside Hotel
171,Morondava,MG,72.16,clear sky,-20.2833,44.2833,Tateyama Seaside Hotel
172,Bowen,AU,63.19,overcast clouds,-20.0167,148.2333,Tateyama Seaside Hotel
